N;mark;year;mileage;vol_engine;price
82192;citroen;2004;240000;1868;8900
82193;citroen;2005;143100;1360;9900
82194;citroen;2004;222000;1587;9900
82195;citroen;2006;173245;1587;11500
82196;citroen;2009;142333;1360;11500
82197;citroen;2006;212580;1587;11900
82198;citroen;2004;270000;1997;9300
82199;citroen;2008;320000;1560;7400
82200;citroen;2006;215000;1587;14999
82201;citroen;2009;97000;1360;8900
82202;citroen;2003;165235;1600;8900
82203;citroen;2005;250000;1997;7995
82204;citroen;2006;188500;1587;14700
82205;citroen;2001;288000;1587;8900
82206;citroen;2007;209712;1360;8000
82207;citroen;2003;203000;1360;9999
82208;citroen;2007;221000;1560;11900
82209;citroen;2005;193000;1560;13700
82210;citroen;2004;266503;1587;8999
82211;citroen;2007;245000;1560;8888
82212;citroen;2005;219000;1360;9900
82213;citroen;2005;180000;1587;10800
82214;citroen;2007;250000;1587;9900
82215;citroen;2005;230000;1360;6700
82216;citroen;2005;144000;1360;11900
82217;citroen;2009;255404;1560;12800
82218;citroen;2010;159000;1587;21900
82219;citroen;2003;234483;1360;5850
82220;citroen;2007;198000;1560;11500
82221;citroen;2003;200000;1587;11700
82222;citroen;2007;200000;1560;7950
82223;citroen;2005;158000;1360;7350
82224;citroen;2001;239003;1587;6900
82225;citroen;2007;323000;1560;10900
82226;citroen;2006;252800;1587;11999
82227;citroen;2007;197000;1560;11900
82228;citroen;2006;158000;1587;15999
82229;citroen;2001;278416;1360;6990
82230;citroen;2007;206721;1560;15500
82231;citroen;2000;274732;1360;2000
82232;citroen;2007;223000;1587;13900
82233;citroen;2005;223000;1587;9900
82234;citroen;2004;188000;1997;9000
82235;citroen;2003;265500;1587;8500
82236;citroen;2004;180000;1587;12900
82237;citroen;2000;350000;1360;4500
82238;citroen;2007;222000;1560;7200
82239;citroen;2008;398567;1560;6900
82240;citroen;2007;307000;1560;10500
82241;citroen;2003;254000;1360;9000
82242;citroen;2004;235000;1587;9900
82243;citroen;2006;324000;1560;5500
82244;citroen;2007;400000;1360;4900
82245;citroen;2004;320113;1868;6700
82246;citroen;2005;268000;1997;3900
82247;citroen;2018;10500;1199;58900
82248;citroen;2018;96500;1560;57700
82249;citroen;2017;85826;1199;52900
82250;citroen;2019;32959;1199;64000
82251;citroen;2021;1;1199;90500
82252;citroen;2021;2;1199;108900
82253;citroen;2018;25000;1199;65700
82254;citroen;2018;50300;1199;66999
82255;citroen;2019;9213;1199;74900
82256;citroen;2022;1;1199;98900
82257;citroen;2018;68240;1499;53900
82258;citroen;2021;3;1199;87500
82259;citroen;2018;59000;1560;54900
82260;citroen;2018;70000;1199;69900
82261;citroen;2018;28965;1199;59900
82262;citroen;2020;1;1199;95700
82263;citroen;2021;1;1199;90400
82264;citroen;2021;1;1199;100500
82265;citroen;2019;11000;1199;64900
82266;citroen;2022;5;1199;99900
82267;citroen;2021;2;1199;79950
82268;citroen;2021;1;1199;107650
82269;citroen;2021;2;1199;83500
82270;citroen;2021;2;1199;85500
82271;citroen;2021;2;1199;85500
82272;citroen;2021;2;1199;84000
82273;citroen;2018;19719;1199;59900
82274;citroen;2017;58817;1199;65900
82275;citroen;2021;4;1199;110900
82276;citroen;2018;20000;1199;54900
82277;citroen;2021;8000;1199;103900
82278;citroen;2018;30500;1199;85899
82279;citroen;2021;360;1199;98950
82280;citroen;2020;7000;1499;61900
82281;citroen;2021;1;1199;99850
82282;citroen;2020;14010;1199;69900
82283;citroen;2021;1600;1199;70000
82284;citroen;2019;26000;1199;63900
82285;citroen;2021;1;1199;83499
82286;citroen;2021;1;1199;85499
82287;citroen;2021;9;1199;99900
82288;citroen;2021;140;1199;94500
82289;citroen;2018;58000;1199;58800
82290;citroen;2021;2000;1199;89253
82291;citroen;2019;28000;1199;65000
82292;citroen;2018;67356;1199;68900
82293;citroen;2021;2;1199;78000
82294;citroen;2021;6000;1199;69900
82295;citroen;2021;500;1197;106350
82296;citroen;2019;54000;1199;58900
82297;citroen;2017;58574;1199;69900
82298;citroen;2020;40300;1499;66600
82299;citroen;2020;7250;1199;61000
82300;citroen;2021;2;1199;98200
82301;citroen;2020;9940;1199;93700
82302;citroen;2021;2;1199;99800
82303;citroen;2021;2;1199;95700
82304;citroen;2021;2;1199;107900
82305;citroen;2021;2;1199;105400
82306;citroen;2019;22500;1200;69900
82307;citroen;2021;3755;1199;99900
82308;citroen;2021;1914;1199;92900
82309;citroen;2021;1;1199;87550
82310;citroen;2021;100;1199;97300
82311;citroen;2021;8700;1199;73500
82312;citroen;2021;1;1199;99550
82313;citroen;2017;44484;1199;67000
82314;citroen;2018;40627;1199;56000
82315;citroen;2019;40000;1199;47500
82316;citroen;2021;5;1199;105900
82317;citroen;2021;5;1199;102700
82318;citroen;2017;86500;1560;53900
82319;citroen;2018;7500;1199;53900
82320;citroen;2021;5000;1199;94550
82321;citroen;2020;28008;1199;76657
82322;citroen;2021;1900;1199;95500
82323;citroen;2022;2;1199;94800
82324;citroen;2018;63000;1560;55900
82325;citroen;2019;40151;1199;74990
82326;citroen;2021;20;1199;74400
82327;citroen;2021;2;1199;100500
82328;citroen;2018;46400;1199;63900
82329;citroen;2019;6200;1199;75900
82330;citroen;2018;39800;1560;56999
82331;citroen;2019;63182;1199;62000
82332;citroen;2018;36000;1199;65900
82333;citroen;2021;5;1199;96600
82334;citroen;2021;2900;1199;96900
82335;citroen;2017;83000;1199;59900
82336;citroen;2021;1;1199;83990
82337;citroen;2017;34328;1199;58900
82338;citroen;2019;11200;1199;49900
82339;citroen;2018;68236;1199;70000
82340;citroen;2020;6425;1499;74000
82341;citroen;2020;15000;1199;38999
82342;citroen;2019;10442;1199;79500
82343;citroen;2009;176968;1598;17900
82344;citroen;2011;78500;1397;18750
82345;citroen;2014;111000;1397;24800
82346;citroen;2010;97421;1598;22000
82347;citroen;2009;159900;1598;17999
82348;citroen;2010;168773;1598;18300
82349;citroen;2009;132000;1598;14999
82350;citroen;2010;81354;1598;25000
82351;citroen;2016;50285;1199;43000
82352;citroen;2015;50000;1199;33800
82353;citroen;2015;98000;1199;38900
82354;citroen;2010;211000;1598;13999
82355;citroen;2009;153777;1598;18900
82356;citroen;2014;117666;1598;32000
82357;citroen;2013;137801;1598;32000
82358;citroen;2013;29740;1397;35000
82359;citroen;2009;180214;1598;14000
82360;citroen;2015;180000;1199;25500
82361;citroen;2015;129400;1199;37900
82362;citroen;2015;62074;1199;36500
82363;citroen;2013;72070;1397;34800
82364;citroen;2015;130000;1199;30900
82365;citroen;2012;139000;1397;21800
82366;citroen;2011;178000;1397;18900
82367;citroen;2012;123000;1560;17900
82368;citroen;2011;133091;1560;17400
82369;citroen;2010;27440;1397;26500
82370;citroen;2011;131500;1397;19900
82371;citroen;2009;172000;1398;19999
82372;citroen;2014;193000;1397;24900
82373;citroen;2009;115500;1598;23900
82374;citroen;2013;61020;1397;24600
82375;citroen;2010;144000;1598;21900
82376;citroen;2011;146000;1397;19900
82377;citroen;2011;100500;1560;19900
82378;citroen;2015;60000;1598;42900
82379;citroen;2009;199180;1560;16990
82380;citroen;2010;76000;1397;17400
82381;citroen;2013;186000;1560;16499
82382;citroen;2009;270000;1560;12900
82383;citroen;2016;159000;1397;26900
82384;citroen;2009;179436;1598;20900
82385;citroen;2014;93079;1598;35900
82386;citroen;2009;120000;1397;26400
82387;citroen;2013;133000;1598;28888
82388;citroen;2015;170002;1598;29900
82389;citroen;2009;163700;1397;17800
82390;citroen;2010;142157;1397;20900
82391;citroen;2009;186680;1397;18000
82392;citroen;2010;163298;1560;17900
82393;citroen;2011;184600;1560;13900
82394;citroen;2009;120610;1560;14600
82395;citroen;2015;52000;1598;45900
82396;citroen;2012;67000;1598;26500
82397;citroen;2009;234000;1560;16900
82398;citroen;2015;79000;1560;32900
82399;citroen;2011;209000;1560;16900
82400;citroen;2009;131000;1397;18400
82401;citroen;2011;199450;1560;22900
82402;citroen;2010;178000;1397;16900
82403;citroen;2009;181000;1397;18950
82404;citroen;2009;93350;1397;21999
82405;citroen;2010;190000;1560;19900
82406;citroen;2010;172000;1397;19900
82407;citroen;2009;199000;1560;16900
82408;citroen;2011;169600;1560;21499
82409;citroen;2010;141484;1397;19900
82410;citroen;2013;163500;1560;24900
82411;citroen;2010;149000;1560;18800
82412;citroen;2010;147000;1598;18900
82413;citroen;2016;145223;1560;36600
82414;citroen;2013;189132;1560;21999
82415;citroen;2009;200566;1560;15099
82416;citroen;2014;184500;1560;23900
82417;citroen;2010;71701;1397;25000
82418;citroen;2010;107000;1397;16900
82419;citroen;2009;230483;1598;17999
82420;citroen;2009;107000;1397;15900
82421;citroen;2010;144000;1397;22500
82422;citroen;2010;179000;1560;18900
82423;citroen;2014;174000;1560;23900
82424;citroen;2010;86678;1397;20400
82425;citroen;2010;188200;1560;13900
82426;citroen;2010;152000;1397;19800
82427;citroen;2012;102000;1598;22000
82428;citroen;2009;184000;1397;15900
82429;citroen;2009;189000;1397;17900
82430;citroen;2010;164668;1397;17600
82431;citroen;2013;177000;1397;20990
82432;citroen;2010;200600;1560;17900
82433;citroen;2010;128188;1397;19000
82434;citroen;2011;154000;1397;19997
82435;citroen;2009;150804;1598;19900
82436;citroen;2010;122740;1560;19900
82437;citroen;2010;191700;1397;15999
82438;citroen;2014;117666;1598;32000
82439;citroen;2015;37087;1560;34000
82440;citroen;2009;154900;1598;18500
82441;citroen;2010;199000;1397;19900
82442;citroen;2011;203000;1560;21900
82443;citroen;2009;163000;1598;18800
82444;citroen;2014;32000;1598;39900
82445;citroen;2010;128188;1397;20000
82446;citroen;2010;150000;1598;19999
82447;citroen;2011;160425;1560;20900
